,FLIGHT,DISTANCE,CRS_ELAPSED_TIME
117466,SAT|PHL|F9,1496.0,215.0
117467,PHL|CVG|F9,507.0,115.0
117468,CVG|PHL|F9,507.0,105.0
118792,PHL|AUS|F9,1430.0,235.0
118793,AUS|PHL|F9,1430.0,200.0
118879,LAS|SLC|F9,368.0,80.0
118880,SLC|LAS|F9,368.0,85.0
118898,SAT|LAS|F9,1069.0,176.0
118949,LAS|SAT|F9,1069.0,158.0
119988,LAX|HNL|VX,2556.0,350.0
119989,HNL|LAX|VX,2556.0,330.0
120714,OMA|SFO|UA,1433.0,225.0
144168,BNA|SEA|WN,1978.0,285.0
146678,SEA|BNA|WN,1978.0,265.0
161548,ORD|MDT|UA,594.0,109.0
161586,IAH|JAX|UA,817.0,130.0
181576,MDT|ORD|UA,594.0,126.0
181631,JAX|IAH|UA,817.0,155.0
240546,DEN|CMH|F9,1154.0,168.0
262036,EWR|IAH|EV,1400.0,210.0
262042,IAH|EWR|EV,1400.0,210.0
262054,IAD|PWM|EV,493.0,95.0
262060,PWM|IAD|EV,493.0,105.0
